S. No,Office Name,Registration No.,Registration Date,Vehicle Category,Vehicle Type,Vehicle Class,Permit Type,Permit Category,Permit Issue Date,Permit Valid From,Permit Upto,Region Covered,Route Covered,From Location,To Location,Via Location,Permit Service Type Name,Registration Finacial year,Permit Finacial year,Vehicle Fuel,Goods To Carry,E-Bus Identifier
12680.0,SRINAGAR RTO,JK01F1693,07-Nov-01,MPV,Commercial,Bus,Stage Carriage Permit,MINI BUSES FOR RURAL ROUTES,23-Mar-02,23-Mar-21,22-Mar-26,EASTERN AREA OF SGR ROTATION BASIS,,Hazratbal,LD,Rainawari,,2001-2002,2001-2002,DIESEL,,
12681.0,SRINAGAR RTO,JK01F1702,07-Nov-01,MPV,Commercial,Bus,Stage Carriage Permit,MEDIUM BUSES,11-May-89,11-May-19,10-May-20,EASTERN AREA OF SGR ROTATION BASIS,,Hazratbal,LD,Rainawari,Express Service,2001-2002,1989-1990,DIESEL,,
12682.0,SRINAGAR RTO,JK01F1731,08-Nov-01,MPV,Commercial,Bus,Stage Carriage Permit,MEDIUM BUSES,14-Jun-00,14-Jun-19,13-Jun-20,WESTERN AREA OF SRINAGAR CITY,,Qamarwari,Dalgate,Khanyar,Express Service,2001-2002,2000-2001,DIESEL,,
12686.0,SRINAGAR RTO,JK01F2215,08-Dec-01,MPV,Commercial,Bus,Stage Carriage Permit,MINI BUSES FOR RURAL ROUTES,05-Feb-73,31-Mar-22,30-Mar-23,WESTERN AREA OF SRINAGAR CITY,,SafaKadal ,SMHS,Jehangir Chowk,Ordinary Service,2001-2002,1972-1973,DIESEL,,
12687.0,SRINAGAR RTO,JK01F2327,20-Dec-01,MPV,Commercial,Bus,Stage Carriage Permit,MEDIUM BUSES,12-May-89,12-May-18,11-May-19,EASTERN AREA OF SGR ROTATION BASIS,,Saidakadal,Parimpora,Dalgate,Express Service,2001-2002,1989-1990,DIESEL,,
12688.0,SRINAGAR RTO,JK01F2329,20-Dec-01,MPV,Commercial,Bus,Stage Carriage Permit,MEDIUM BUSES,06-Jun-99,06-Jun-17,05-Jun-19,WESTERN AREA OF SRINAGAR CITY,,SafaKadal ,SMHS,Jehangir Chowk,Express Service,2001-2002,1999-2000,DIESEL,,
12689.0,SRINAGAR RTO,JK01F2342,21-Dec-01,MPV,Commercial,Bus,Stage Carriage Permit,MEDIUM BUSES,11-May-89,09-May-19,08-May-20,WESTERN AREA OF SRINAGAR CITY,,SafaKadal ,SMHS,Jehangir Chowk,Ordinary Service,2001-2002,1989-1990,DIESEL,,
12691.0,SRINAGAR RTO,JK01F2351,24-Dec-01,MPV,Commercial,Bus,Stage Carriage Permit,MINI BUSES FOR URBAN ROUTES,31-May-89,22-May-19,22-May-20,WESTERN AREA OF SRINAGAR CITY,,SafaKadal ,SMHS,Jehangir Chowk,,2001-2002,1989-1990,DIESEL,,
12692.0,SRINAGAR RTO,JK01F2397,27-Dec-01,MPV,Commercial,Bus,Stage Carriage Permit,MEDIUM BUSES,03-Jan-02,05-Jan-23,04-Jan-28,OUTSKIRTS OF SRINAGAR CITY,,Lalbazar ,Parimpora,Qamarwari,,2001-2002,2001-2002,DIESEL,,
12694.0,SRINAGAR RTO,JK01F2433,01-Jan-02,MPV,Commercial,Bus,Stage Carriage Permit,MEDIUM BUSES,07-Jan-02,07-Jan-24,06-Jan-29,OUTSKIRTS OF SRINAGAR CITY,,Parimpora ,Rawalpora,Jehangir Chowk,,2001-2002,2001-2002,DIESEL,,
