S. No,Office Name,Registration No.,Registration Date,Vehicle Category,Vehicle Type,Vehicle Class,Permit Type,Permit Category,Permit Issue Date,Permit Valid From,Permit Upto,Region Covered,Route Covered,From Location,To Location,Via Location,Permit Service Type Name,Registration Finacial year,Permit Finacial year,Vehicle Fuel,Goods To Carry
1223,DODA ARTO,JK061548,14-Jul-05,LPV,Commercial,Bus,Stage Carriage Permit,MINI BUSES FOR RURAL ROUTES,01-Dec-02,01-Jan-21,31-Dec-22,,NA,DODA CITY,BHADERWAH,Pul Doda,Ordinary Service,2005-2006,2002-2003,DIESEL,
1224,DODA ARTO,JK061588,01-Sep-06,LPV,Commercial,Bus,Stage Carriage Permit,MINI BUSES FOR RURAL ROUTES,06-Sep-06,07-Sep-19,06-Sep-20,,NA,DODA,BHEJA,Gatha Domail Pasri,Ordinary Service,2006-2007,2006-2007,DIESEL,
1225,DODA ARTO,JK061639,19-Oct-06,LPV,Commercial,Bus,Stage Carriage Permit,MINI BUSES FOR RURAL ROUTES,20-Feb-07,21-Feb-17,20-Feb-18,,NA,THATHRI,GWARI,Gandoh,Ordinary Service,2006-2007,2006-2007,DIESEL,
1226,DODA ARTO,JK061643,28-Oct-06,MPV,Commercial,Bus,Stage Carriage Permit,MINI BUSES FOR RURAL ROUTES,08-Jan-07,08-Jan-22,07-Jan-23,,NA,BHALLA,CHILOTRAN,PUL DODA,Ordinary Service,2006-2007,2006-2007,DIESEL,NON HAZARDOUS::OTHER::MANI BUS
1227,DODA ARTO,JK061705,04-Jan-07,LPV,Commercial,Bus,Stage Carriage Permit,MINI BUSES FOR RURAL ROUTES,08-Jan-07,08-Jan-19,07-Jan-20,,NA,BHAGWAH,NEW BSU STAND BHADERWAH,Via Dessa Chowk,Ordinary Service,2006-2007,2006-2007,DIESEL,
1228,DODA ARTO,JK061919,14-Nov-07,MPV,Commercial,Bus,Stage Carriage Permit,MINI BUSES FOR RURAL ROUTES,20-Nov-07,20-Nov-20,19-Nov-21,,NA,DODA,DRABSHALLA,Thathri,Ordinary Service,2007-2008,2007-2008,DIESEL,NON HAZARDOUS::OTHER::MINI BUSS
1229,DODA ARTO,JK061923,20-Sep-07,LPV,Commercial,Bus,Stage Carriage Permit,MINI BUSES FOR RURAL ROUTES,21-Sep-07,21-Sep-21,20-Sep-26,,NA,PUL DODA,BEMINA,Baswal,NA,2007-2008,2007-2008,DIESEL,NON HAZARDOUS::OTHER::MANI BUS
1230,DODA ARTO,JK061973,02-Nov-07,MPV,Commercial,Educational Institution Bus,Stage Carriage Permit,MINI BUSES FOR RURAL ROUTES,15-Nov-07,15-Nov-17,14-Nov-18,DODA DISTRICT WITH IN MUNCIPILITY LIMIT,NA,,,NA,Ordinary Service,2007-2008,2007-2008,DIESEL,
1231,DODA ARTO,JK062004,21-Nov-07,MPV,Commercial,Bus,Stage Carriage Permit,MINI BUSES FOR RURAL ROUTES,19-Nov-07,20-Nov-20,19-Nov-21,,NA,KATHAI,SOHAL,VIA PADDAR,Ordinary Service,2007-2008,2007-2008,DIESEL,
1232,DODA ARTO,JK062024,21-Nov-07,LPV,Commercial,Bus,Stage Carriage Permit,MINI BUSES FOR RURAL ROUTES,29-Nov-07,29-Nov-18,28-Nov-19,,NA,MALOTHI,DRABSHALLA,Doda,Ordinary Service,2007-2008,2007-2008,DIESEL,
1233,DODA ARTO,JK062069,19-Dec-07,LPV,Commercial,Bus,Stage Carriage Permit,MINI BUSES FOR RURAL ROUTES,24-Dec-07,24-Dec-19,23-Dec-20,,NA,DODA,BHADERWAH,ext. up to Jodhpur,Ordinary Service,2007-2008,2007-2008,DIESEL,
1234,DODA ARTO,JK062070,12-Nov-07,MPV,Commercial,Bus,Stage Carriage Permit,MINI BUSES FOR RURAL ROUTES,28-Dec-07,28-Dec-22,27-Dec-27,,NA,ASSAR        ,DODA,Pul Doda,NA,2007-2008,2007-2008,DIESEL,NON HAZARDOUS::OTHER::MINI BUS
1235,DODA ARTO,JK062079,29-Dec-07,MPV,Commercial,Bus,Stage Carriage Permit,MINI BUSES FOR RURAL ROUTES,16-Jan-08,16-Jan-16,15-Jan-17,,NA,,,NA,Ordinary Service,2007-2008,2007-2008,DIESEL,
1236,DODA ARTO,JK062093,10-Jan-08,LPV,Commercial,Bus,Stage Carriage Permit,MINI BUSES FOR RURAL ROUTES,23-Jan-08,23-Jan-19,22-Jan-20,,NA,DODA,BHADERWAH,V.Versa,Ordinary Service,2007-2008,2007-2008,DIESEL,
1237,DODA ARTO,JK062104,25-Jan-08,LPV,Commercial,Bus,Stage Carriage Permit,MINI BUSES FOR RURAL ROUTES,20-Feb-08,20-Feb-21,19-Feb-23,,NA,BHADERWAH,DODA CITY,Bheja,Ordinary Service,2007-2008,2007-2008,DIESEL,NON HAZARDOUS::OTHER::ONLY
1238,DODA ARTO,JK062114,29-Jan-08,LPV,Commercial,Bus,Stage Carriage Permit,MINI BUSES FOR RURAL ROUTES,02-Feb-08,02-Feb-19,01-Feb-20,,NA,PUL DODA,BHAGWA,BHUPUL,Ordinary Service,2007-2008,2007-2008,DIESEL,
1239,DODA ARTO,JK062131,04-Feb-08,LPV,Commercial,Bus,Stage Carriage Permit,MINI BUSES FOR RURAL ROUTES,20-Feb-08,20-Feb-17,19-Feb-18,,NA,Kahara,KISHTWAR,V.Versa,Ordinary Service,2007-2008,2007-2008,DIESEL,
1240,DODA ARTO,JK062142,19-Feb-08,MPV,Commercial,Bus,Stage Carriage Permit,MINI BUSES FOR RURAL ROUTES,20-Feb-08,20-Feb-17,19-Feb-18,,NA,BIMNA,BHALLA,Chilly Morhe,Ordinary Service,2007-2008,2007-2008,DIESEL,
1241,DODA ARTO,JK062146,24-Feb-08,LPV,Commercial,Bus,Stage Carriage Permit,MINI BUSES FOR RURAL ROUTES,24-Apr-08,24-Apr-18,23-Apr-19,,NA,DODA,BHADERWAH,Shangroo,Ordinary Service,2007-2008,2008-2009,DIESEL,
1242,DODA ARTO,JK062147,24-Mar-08,LPV,Commercial,Bus,Stage Carriage Permit,MINI BUSES FOR RURAL ROUTES,25-Apr-08,24-Apr-20,23-Apr-22,,NA,DODA CITY,BHADERWAH,Pul Doda,Ordinary Service,2007-2008,2008-2009,DIESEL,
1243,DODA ARTO,JK062166,05-Mar-08,LPV,Commercial,Bus,Stage Carriage Permit,MINI BUSES FOR RURAL ROUTES,25-Mar-09,25-Mar-18,24-Mar-19,,NA,BEMINA ,PARYOTE,Doda,Ordinary Service,2007-2008,2008-2009,DIESEL,
1244,DODA ARTO,JK062199,16-Apr-08,MPV,Commercial,Educational Institution Bus,Stage Carriage Permit,MEDIUM BUSES,27-Jul-06,27-Jul-22,26-Jul-23,DISTRICT DODA,NA,,,NA,Ordinary Service,2008-2009,2006-2007,DIESEL,NON HAZARDOUS::OTHER::ONLY
1245,DODA ARTO,JK062204,24-Apr-08,LPV,Commercial,Bus,Stage Carriage Permit,MINI BUSES FOR RURAL ROUTES,13-Jun-08,13-Jun-23,12-Jun-28,,NA,BHALLA,GHATI MORH,Doda,Ordinary Service,2008-2009,2008-2009,DIESEL,
1246,DODA ARTO,JK062233,28-May-08,MPV,Commercial,Bus,Stage Carriage Permit,MINI BUSES FOR RURAL ROUTES,25-Jun-08,25-Jun-20,24-Jun-23,,NA,DODA,GHATI MORHE,Pul Doda,Ordinary Service,2008-2009,2008-2009,DIESEL,
1247,DODA ARTO,JK062238,28-May-08,LPV,Commercial,Bus,Stage Carriage Permit,MINI BUSES FOR RURAL ROUTES,13-Jun-08,13-Jun-22,12-Jun-23,,NA,BHABOOR,BHADERWAH,ext. up to Chinta,NA,2008-2009,2008-2009,DIESEL,
1248,DODA ARTO,JK062300,09-Aug-08,HPV,Commercial,Bus,Stage Carriage Permit,BIG BUSES(HTV),10-Oct-08,10-Oct-17,09-Oct-18,DISTRICT DODA,NA,,,NA,Ordinary Service,2008-2009,2008-2009,DIESEL,
1249,DODA ARTO,JK062316,24-Sep-08,LPV,Commercial,Bus,Stage Carriage Permit,MINI BUSES FOR RURAL ROUTES,10-Oct-08,11-Oct-18,10-Oct-19,,NA,ASSAR        ,DODA,Pul Doda,Ordinary Service,2008-2009,2008-2009,DIESEL,
1250,DODA ARTO,JK062321,07-Oct-08,LPV,Commercial,Bus,Stage Carriage Permit,MINI BUSES FOR RURAL ROUTES,02-Mar-09,02-Mar-16,01-Mar-17,,NA,,,NA,Ordinary Service,2008-2009,2008-2009,DIESEL,
1251,DODA ARTO,JK062347,23-Oct-08,HPV,Commercial,Bus,Stage Carriage Permit,MINI BUSES FOR RURAL ROUTES,04-Nov-08,04-Nov-15,03-Nov-16,,NA,,,NA,Ordinary Service,2008-2009,2008-2009,DIESEL,
1252,DODA ARTO,JK062428,29-Jan-09,LPV,Commercial,Bus,Stage Carriage Permit,MINI BUSES FOR RURAL ROUTES,30-Jan-09,30-Jan-17,29-Jan-18,,NA,BHABOOR ,BHADERWAH,Doda,Ordinary Service,2008-2009,2008-2009,DIESEL,
1253,DODA ARTO,JK062697,07-Aug-09,LPV,Commercial,Bus,Stage Carriage Permit,MINI BUSES FOR RURAL ROUTES,10-Sep-09,10-Sep-13,09-Sep-14,,NA,,,NA,Ordinary Service,2009-2010,2009-2010,DIESEL,
1254,DODA ARTO,JK062743,01-Sep-09,LPV,Commercial,Bus,Stage Carriage Permit,MINI BUSES FOR RURAL ROUTES,26-Sep-09,26-Sep-17,25-Sep-18,,NA,BHADERWAH,MALOTHI,V.Versa,Ordinary Service,2009-2010,2009-2010,DIESEL,
1255,DODA ARTO,JK062803,09-Oct-09,LPV,Commercial,Motor Cab,Stage Carriage Permit,MINI BUSES FOR RURAL ROUTES,12-Oct-09,29-May-17,28-May-18,,NA,SINGANSU BRIDGE,DANDI,Domail,Ordinary Service,2009-2010,2009-2010,DIESEL,
1256,DODA ARTO,JK062985,26-Dec-09,LPV,Commercial,Bus,Stage Carriage Permit,MINI BUSES FOR RURAL ROUTES,31-Dec-10,31-Dec-22,30-Dec-27,DISTRICT DODA,NA,CHAROTA,BATOTE,"CHAROTA,TO,BATOTE",Ordinary Service,2009-2010,2010-2011,DIESEL,
1257,DODA ARTO,JK062986,29-Dec-09,MPV,Commercial,Bus,Stage Carriage Permit,MINI BUSES FOR RURAL ROUTES,02-Jan-10,02-Jan-19,01-Jan-20,,NA,DHARA,BASWAL,"Ghat,Thathri",Ordinary Service,2009-2010,2009-2010,DIESEL,
1258,DODA ARTO,JK063049,01-Feb-10,MPV,Commercial,Bus,Stage Carriage Permit,MINI BUSES FOR RURAL ROUTES,18-Feb-10,18-Feb-23,17-Feb-28,,NA,PUL DODA,BHADERWAH,THANALA,Ordinary Service,2009-2010,2009-2010,DIESEL,NON HAZARDOUS::OTHER::ONLY
1259,DODA ARTO,JK063057,05-Feb-10,LPV,Commercial,Bus,Stage Carriage Permit,MINI BUSES FOR RURAL ROUTES,05-Feb-10,05-Feb-20,04-Feb-21,,NA,PUL DODA,DHARA,Bhaboor,NA,2009-2010,2009-2010,DIESEL,
1260,DODA ARTO,JK063067,13-Feb-10,LPV,Commercial,Bus,Stage Carriage Permit,MINI BUSES FOR RURAL ROUTES,18-Feb-10,18-Feb-16,17-Feb-17,,NA,,,NA,Ordinary Service,2009-2010,2009-2010,DIESEL,
1261,DODA ARTO,JK063089,19-Feb-10,HPV,Commercial,Bus,Stage Carriage Permit,MINI BUSES FOR RURAL ROUTES,23-Feb-10,23-Feb-20,22-Feb-21,,NA,CHINTA,DODA,Bhaderwah,Ordinary Service,2009-2010,2009-2010,DIESEL,
1262,DODA ARTO,JK063147,15-Mar-10,LPV,Commercial,Bus,Stage Carriage Permit,MINI BUSES FOR RURAL ROUTES,29-Oct-09,01-Apr-17,31-Mar-18,,NA,DHARA,BASWAL,V.Versa,Ordinary Service,2009-2010,2009-2010,DIESEL,
1263,DODA ARTO,JK063178,26-Feb-10,LPV,Commercial,Bus,Stage Carriage Permit,MINI BUSES FOR RURAL ROUTES,31-Mar-10,31-Mar-17,30-Mar-18,,NA,DODA,BHADERWAH,Thalsara,Ordinary Service,2009-2010,2009-2010,DIESEL,
1264,DODA ARTO,JK063191,03-Apr-10,LPV,Commercial,Bus,Stage Carriage Permit,MINI BUSES FOR RURAL ROUTES,09-Apr-10,09-Apr-18,08-Apr-19,,NA,DODA,BANJOI,V.Versa,Ordinary Service,2010-2011,2010-2011,DIESEL,
1265,DODA ARTO,JK063216,09-Apr-10,LPV,Commercial,Bus,Stage Carriage Permit,MINI BUSES FOR RURAL ROUTES,10-Apr-10,10-Apr-19,09-Apr-20,,NA,BIMNA,PUL DODA,DODA,Ordinary Service,2010-2011,2010-2011,DIESEL,
1266,DODA ARTO,JK063234,23-Apr-10,MPV,Commercial,Bus,Stage Carriage Permit,MINI BUSES FOR RURAL ROUTES,23-Apr-10,23-Apr-17,22-Apr-18,,NA,KISHTWAR,KESHWAN,V.Versa,Ordinary Service,2010-2011,2010-2011,DIESEL,
1267,DODA ARTO,JK063310,24-May-10,LPV,Commercial,Bus,Stage Carriage Permit,MINI BUSES FOR RURAL ROUTES,10-Apr-10,25-May-20,24-May-21,,NA,JODHPUR,BHADERWAH,PUL DODA,Ordinary Service,2010-2011,2010-2011,DIESEL,
1268,DODA ARTO,JK063328,04-Jun-10,LPV,Commercial,Motor Cab,Stage Carriage Permit,MINI BUSES FOR RURAL ROUTES,09-Jun-10,09-Jun-15,08-Jun-16,,NA,,,NA,Ordinary Service,2010-2011,2010-2011,DIESEL,
1269,DODA ARTO,JK063395,09-Jul-10,LPV,Commercial,Bus,Stage Carriage Permit,MINI BUSES FOR RURAL ROUTES,09-Jul-10,09-Jul-21,08-Jul-22,,NA,THATHRI,BASWAL,Doda,Ordinary Service,2010-2011,2010-2011,DIESEL,
1270,DODA ARTO,JK063762,04-Jan-11,MPV,Commercial,Educational Institution Bus,Stage Carriage Permit,MINI BUSES FOR RURAL ROUTES,21-Jan-11,21-Jan-21,20-Jan-23,DISTRICT DODA,NA,,,NA,NA,2010-2011,2010-2011,DIESEL,HAZARDOUS::OTHER::ONLY
1271,DODA ARTO,JK063916,15-Mar-11,LPV,Commercial,Bus,Stage Carriage Permit,MINI BUSES FOR RURAL ROUTES,23-Mar-11,22-Mar-17,21-Mar-18,,NA,KAHARA,DODA,Thathri,Ordinary Service,2010-2011,2010-2011,DIESEL,
1272,DODA ARTO,JK064064,31-May-11,LPV,Commercial,Bus,Stage Carriage Permit,MINI BUSES FOR RURAL ROUTES,08-Jun-11,08-Jun-18,07-Jun-19,,NA,DODA,THATHRI,PREM NAGAR,Ordinary Service,2011-2012,2011-2012,DIESEL,
1273,DODA ARTO,JK064215,03-Aug-11,MPV,Commercial,Educational Institution Bus,Stage Carriage Permit,BIG BUSES(HTV),20-Aug-11,20-Aug-16,19-Aug-17,DISTRICT DODA,NA,,,NA,Ordinary Service,2011-2012,2011-2012,DIESEL,
1274,DODA ARTO,JK064216,03-Aug-11,MPV,Commercial,Bus,Stage Carriage Permit,BIG BUSES(HTV),20-Aug-11,20-Aug-17,19-Aug-23,DISTRICT DODA,NA,,,NA,Ordinary Service,2011-2012,2011-2012,DIESEL,
1275,DODA ARTO,JK064302,09-Sep-11,MPV,Commercial,Educational Institution Bus,Stage Carriage Permit,MEDIUM BUSES,13-Sep-11,13-Sep-15,12-Sep-16,DISTRICT DODA,NA,,,NA,Ordinary Service,2011-2012,2011-2012,DIESEL,
1276,DODA ARTO,JK064706,07-Jan-12,MPV,Commercial,Bus,Stage Carriage Permit,MINI BUSES FOR RURAL ROUTES,18-Oct-11,30-Jan-20,29-Jan-21,,NA,DODA,GHATI MORHE,Pul Doda,Ordinary Service,2011-2012,2011-2012,DIESEL,
1277,DODA ARTO,JK064929,23-Apr-12,MPV,Commercial,Bus,Stage Carriage Permit,MINI BUSES FOR RURAL ROUTES,24-Apr-12,24-Apr-21,23-Apr-24,DISTRICT DODA,NA,,,NA,NA,2012-2013,2012-2013,DIESEL,
1278,DODA ARTO,JK065155,19-Jul-12,LPV,Commercial,Bus,Stage Carriage Permit,MINI BUSES FOR RURAL ROUTES,09-Aug-12,09-Aug-19,08-Aug-20,,NA,Baswal ,THATHRI,Doda,Ordinary Service,2012-2013,2012-2013,DIESEL,
1279,DODA ARTO,JK065398,28-Sep-12,LPV,Commercial,Motor Cab,Stage Carriage Permit,MINI BUSES FOR RURAL ROUTES,10-Oct-12,10-Oct-15,09-Oct-16,,NA,,,NA,Ordinary Service,2012-2013,2012-2013,DIESEL,
1280,DODA ARTO,JK065734,09-Feb-13,LPV,Commercial,Bus,Stage Carriage Permit,MINI BUSES FOR RURAL ROUTES,11-Feb-13,11-Feb-18,10-Feb-19,,NA,DODA,GANDOH,THATRI,Ordinary Service,2012-2013,2012-2013,DIESEL,
1281,DODA ARTO,JK065925,03-Apr-13,HPV,Commercial,Bus,Stage Carriage Permit,BIG BUSES(HTV),10-Apr-13,01-Apr-25,31-Mar-30,,NA,DODA ,JAMMU,VIA NASHRI TUNNEL,,2013-2014,2013-2014,DIESEL,
1282,DODA ARTO,JK065932,04-Apr-13,LPV,Commercial,Motor Cab,Stage Carriage Permit,MINI BUSES FOR RURAL ROUTES,16-Apr-13,08-Apr-16,07-Apr-17,,NA,,,NA,Ordinary Service,2013-2014,2013-2014,DIESEL,
1283,DODA ARTO,JK066099,23-May-13,LPV,Commercial,Motor Cab,Stage Carriage Permit,MINI BUSES FOR RURAL ROUTES,06-Jun-13,06-Jun-16,05-Jun-18,,NA,DODA,BHALLA,Pul Doda,Ordinary Service,2013-2014,2013-2014,DIESEL,
1284,DODA ARTO,JK066155,07-Jun-13,LPV,Commercial,Motor Cab,Stage Carriage Permit,MINI BUSES FOR RURAL ROUTES,09-Nov-13,15-Jul-16,14-Jul-17,,NA,,,NA,Ordinary Service,2013-2014,2013-2014,DIESEL,
1285,DODA ARTO,JK066290,18-Jul-13,LPV,Commercial,Motor Cab,Stage Carriage Permit,MINI BUSES FOR RURAL ROUTES,02-Nov-13,02-Nov-16,01-Nov-17,,NA,AMIRANAGAR  ,SARTINGAL,Bhaderwah,Ordinary Service,2013-2014,2013-2014,DIESEL,
1286,DODA ARTO,JK066371,01-Oct-13,MPV,Commercial,Omni Bus,Stage Carriage Permit,MINI BUSES FOR RURAL ROUTES,17-Oct-14,12-Oct-17,11-Oct-18,,NA,CHINTA,DODA,Bhaderwah,Ordinary Service,2013-2014,2014-2015,DIESEL,
1287,DODA ARTO,JK066466,14-Oct-13,LPV,Commercial,Motor Cab,Stage Carriage Permit,MINI BUSES FOR RURAL ROUTES,24-Mar-14,01-Nov-17,31-Oct-18,,NA,PREMNAGAR,DODA,Pul Doda,Ordinary Service,2013-2014,2013-2014,DIESEL,
1288,DODA ARTO,JK066600,02-Nov-13,LPV,Commercial,Motor Cab,Stage Carriage Permit,MINI BUSES FOR RURAL ROUTES,01-Feb-14,31-Jan-17,30-Jan-18,,NA,BHADERWAH ,BHALLA,Bhalla,Ordinary Service,2013-2014,2013-2014,DIESEL,
1289,DODA ARTO,JK066708,30-Nov-13,LPV,Commercial,Motor Cab,Stage Carriage Permit,MINI BUSES FOR RURAL ROUTES,01-Feb-14,31-Jan-16,30-Jan-17,,NA,,,NA,Ordinary Service,2013-2014,2013-2014,DIESEL,
1290,DODA ARTO,JK066714,30-Nov-13,LPV,Commercial,Bus,Stage Carriage Permit,MINI BUSES FOR RURAL ROUTES,12-Mar-14,12-Mar-18,11-Mar-19,,NA,DODA,BHADERWAH,Trown,Ordinary Service,2013-2014,2013-2014,DIESEL,
1291,DODA ARTO,JK066739,06-Dec-13,LPV,Commercial,Motor Cab,Stage Carriage Permit,MINI BUSES FOR RURAL ROUTES,19-Dec-13,17-Dec-19,16-Dec-20,,NA,RAM GARH,BATOTE,V.Versa,Ordinary Service,2013-2014,2013-2014,DIESEL,
1292,DODA ARTO,JK066741,06-Dec-13,LPV,Commercial,Bus,Stage Carriage Permit,MINI BUSES FOR RURAL ROUTES,01-Feb-14,20-Jan-18,19-Jan-19,,NA,DODA,CHINTA,Bhaderwah,Ordinary Service,2013-2014,2013-2014,DIESEL,
1293,DODA ARTO,JK066861,06-Jan-14,LPV,Commercial,Bus,Stage Carriage Permit,MINI BUSES FOR RURAL ROUTES,25-Jun-14,24-Jun-23,23-Jun-28,,NA,CHINTA,DODA,Bhaderwah,Ordinary Service,2013-2014,2014-2015,DIESEL,NON HAZARDOUS::OTHER::ONLY
1294,DODA ARTO,JK066870,06-Jan-14,MPV,Commercial,Bus,Stage Carriage Permit,MINI BUSES FOR RURAL ROUTES,09-Feb-14,03-Feb-19,02-Feb-20,,NA,BHADERWAH ,THATHRI,Doda,Ordinary Service,2013-2014,2013-2014,DIESEL,
1295,DODA ARTO,JK066959,10-Feb-14,LPV,Commercial,Bus,Stage Carriage Permit,MINI BUSES FOR RURAL ROUTES,15-Mar-14,15-Mar-19,14-Mar-20,,NA,DODA,GANDOH,THATRI,Ordinary Service,2013-2014,2013-2014,DIESEL,
1296,DODA ARTO,JK067056,15-Mar-14,LPV,Commercial,Motor Cab,Stage Carriage Permit,MINI BUSES FOR RURAL ROUTES,02-May-14,28-Apr-22,27-Apr-23,,NA,BHADERWAH,DANDI,PASRI,Ordinary Service,2013-2014,2014-2015,DIESEL,NON HAZARDOUS::OTHER::ONLY
1297,DODA ARTO,JK067063,15-Mar-14,LPV,Commercial,Motor Cab,Stage Carriage Permit,MINI BUSES FOR RURAL ROUTES,02-May-14,28-Apr-20,27-Apr-22,,NA,MANTHALLA,DANDI,V.Versa,Ordinary Service,2013-2014,2014-2015,DIESEL,
1298,DODA ARTO,JK067064,15-Mar-14,LPV,Commercial,Motor Cab,Stage Carriage Permit,MINI BUSES FOR RURAL ROUTES,02-May-14,28-Apr-19,27-Apr-20,,NA,SARTINGAL,SERI,Bhaderwah,Ordinary Service,2013-2014,2014-2015,DIESEL,
1299,DODA ARTO,JK067184,02-May-14,LPV,Commercial,Bus,Stage Carriage Permit,MINI BUSES FOR RURAL ROUTES,04-Jul-14,05-May-17,04-May-18,,NA,MALOTHI,THATHRI,Doda,Ordinary Service,2014-2015,2014-2015,DIESEL,
1300,DODA ARTO,JK067266,09-May-14,LPV,Commercial,Bus,Stage Carriage Permit,MEDIUM BUSES,09-May-14,09-May-17,08-May-18,,NA,BHADERWAH ,CHILETRAN,Doda,Ordinary Service,2014-2015,2014-2015,DIESEL,
1301,DODA ARTO,JK067416,19-Jun-14,LPV,Commercial,Motor Cab,Stage Carriage Permit,MINI BUSES FOR RURAL ROUTES,25-Jun-14,24-Jun-16,23-Jun-17,,NA,BHADERWAH ,AMIRA NAGAR,V.Versa,Ordinary Service,2014-2015,2014-2015,DIESEL,
1302,DODA ARTO,JK067579,24-Jul-14,LPV,Commercial,Motor Cab,Stage Carriage Permit,MINI BUSES FOR RURAL ROUTES,30-Aug-14,28-Aug-19,27-Aug-20,,NA,SARTINGAL,SERI,Bhaderwah,Ordinary Service,2014-2015,2014-2015,DIESEL,
1303,DODA ARTO,JK067823,25-Sep-14,MPV,Commercial,Bus,Stage Carriage Permit,MINI BUSES FOR RURAL ROUTES,27-Sep-14,27-Sep-24,26-Sep-29,,NA,DHARA,BHADERWAH,Doda,,2014-2015,2014-2015,DIESEL,
1304,DODA ARTO,JK067900,17-Oct-14,MPV,Commercial,Bus,Stage Carriage Permit,MINI BUSES FOR RURAL ROUTES,17-Oct-14,17-Oct-23,16-Oct-28,,NA,DODA,CHIRALLA,THATHRI,,2014-2015,2014-2015,DIESEL,NON HAZARDOUS::OTHER::ONLY
1305,DODA ARTO,JK068010,08-Nov-14,LPV,Commercial,Motor Cab,Stage Carriage Permit,MINI BUSES FOR RURAL ROUTES,29-Nov-14,29-Nov-18,28-Nov-19,,NA,SARTINGAL,SERI,Bhaderwah,Ordinary Service,2014-2015,2014-2015,DIESEL,
1306,DODA ARTO,JK068012,08-Nov-14,LPV,Commercial,Motor Cab,Stage Carriage Permit,MINI BUSES FOR RURAL ROUTES,29-Nov-14,29-Nov-19,28-Nov-22,,NA,BHADERWAH,DANDI,PASRI,Ordinary Service,2014-2015,2014-2015,DIESEL,
1307,DODA ARTO,JK068013,08-Nov-14,LPV,Commercial,Motor Cab,Stage Carriage Permit,MINI BUSES FOR RURAL ROUTES,29-Nov-14,29-Nov-18,28-Nov-19,,NA,SARTINGAL,SERI,Bhaderwah,Ordinary Service,2014-2015,2014-2015,DIESEL,
1308,DODA ARTO,JK068014,08-Nov-14,LPV,Commercial,Motor Cab,Stage Carriage Permit,MINI BUSES FOR RURAL ROUTES,29-Nov-14,29-Nov-17,28-Nov-18,,NA,SARTINGAL,SERI,Bhaderwah,Ordinary Service,2014-2015,2014-2015,DIESEL,
1309,DODA ARTO,JK068055,15-Nov-14,LPV,Commercial,Motor Cab,Stage Carriage Permit,MINI BUSES FOR RURAL ROUTES,29-Nov-14,29-Nov-15,28-Nov-16,,NA,,,NA,Ordinary Service,2014-2015,2014-2015,DIESEL,
1310,DODA ARTO,JK068124,16-Dec-14,MPV,Commercial,Bus,Stage Carriage Permit,MINI BUSES FOR RURAL ROUTES,17-Dec-14,17-Dec-18,16-Dec-19,,NA,DODA,PANCHAI,Panchai,Ordinary Service,2014-2015,2014-2015,DIESEL,
1311,DODA ARTO,JK068135,16-Dec-14,LPV,Commercial,Motor Cab,Stage Carriage Permit,MINI BUSES FOR RURAL ROUTES,13-Feb-15,13-Feb-22,12-Feb-23,,NA,BHADERWAH,DANDI,PASRI,NA,2014-2015,2014-2015,DIESEL,
1312,DODA ARTO,JK068276,07-Feb-15,LPV,Commercial,Motor Cab,Stage Carriage Permit,MINI BUSES FOR RURAL ROUTES,13-Feb-15,13-Feb-22,12-Feb-27,,NA,BHADERWAH,SERI,V.Versa,,2014-2015,2014-2015,DIESEL,
1313,DODA ARTO,JK068455,01-May-15,LPV,Commercial,Motor Cab,Stage Carriage Permit,MINI BUSES FOR RURAL ROUTES,06-Oct-15,19-Sep-16,18-Sep-17,,NA,SARTINGAL,SERI,Bhaderwah,Ordinary Service,2015-2016,2015-2016,DIESEL,
1314,DODA ARTO,JK068559,10-Jun-15,LPV,Commercial,Bus,Stage Carriage Permit,MINI BUSES FOR RURAL ROUTES,11-Jun-15,11-Jun-20,10-Jun-25,,NA,DODA,ROAT,VIA KHELLANI,Ordinary Service,2015-2016,2015-2016,DIESEL,
1315,DODA ARTO,JK068574,11-Jun-15,LPV,Commercial,Motor Cab,Stage Carriage Permit,MINI BUSES FOR RURAL ROUTES,03-May-17,03-May-17,02-May-18,,NA,SARTINGAL,SERI,Bhaderwah,Ordinary Service,2015-2016,2017-2018,DIESEL,
1316,DODA ARTO,JK068649,06-Jul-15,LPV,Commercial,Bus,Stage Carriage Permit,MINI BUSES FOR RURAL ROUTES,01-Aug-15,01-Aug-16,31-Jul-17,,NA,,,NA,Ordinary Service,2015-2016,2015-2016,DIESEL,
1317,DODA ARTO,JK068651,06-Jul-15,LPV,Commercial,Bus,Stage Carriage Permit,MINI BUSES FOR RURAL ROUTES,01-Aug-15,09-Jul-19,08-Jul-20,,NA,THATHRI,DODA CITY,Malhota,Ordinary Service,2015-2016,2015-2016,DIESEL,
1318,DODA ARTO,JK068718,01-Aug-15,LPV,Commercial,Bus,Stage Carriage Permit,MINI BUSES FOR RURAL ROUTES,21-Sep-15,20-Aug-21,19-Aug-22,,NA,GUGARA,DODA,VIA THATHRI,Ordinary Service,2015-2016,2015-2016,DIESEL,NON HAZARDOUS::OTHER::MANI BUS
1319,DODA ARTO,JK069906,23-Aug-16,MPV,Commercial,Bus,Stage Carriage Permit,MINI BUSES FOR RURAL ROUTES,22-Oct-16,22-Oct-19,21-Oct-20,,NA,Pul Doda ,Chinta,V.Versa,Ordinary Service,2016-2017,2016-2017,DIESEL,
