Name,Category,Importance,Latitude,Longitude,City/Town
Unani and Panchkarma Hospital,Major Hospital,High,34.0959184,74.79223,Greater Kashmir Region
JLNM Hospital Gate Entrance,Major Hospital,High,34.0971865,74.8218844,Greater Kashmir Region
BHM Hospital,Major Hospital,High,33.9273776,75.0052256,Greater Kashmir Region
Health sub centre,Major Hospital,High,33.9845173,74.9493088,Greater Kashmir Region
Ujala Cygnus Hospital,Major Hospital,High,34.0290999,74.8312488,Srinagar
Sub District Hospital Devsar,Major Hospital,High,33.6324459,75.0832507,Devsar
MedStar Medical Centre,Major Hospital,High,34.0259838,74.8352303,Greater Kashmir Region
Govt. Hospital Lethpora,Major Hospital,High,33.9641912,74.9661945,Pampore
Govt AYUSH Dispensary Kawoosa Khalisa,Major Hospital,High,34.1025577,74.6474548,Kawoosa Khalisa
Ayush Health & Wellness Centre Kawoosa Khalisa (Under Construction),Major Hospital,High,34.10297,74.6439372,Kawoosa Khalisa
Kawoosa Medical Hospital,Major Hospital,High,34.1131038,74.7183757,Srinagar
