Route_Name,Origin,Origin_Lat,Origin_Lon,Destination,Dest_Lat,Dest_Lon,Via_Points_Raw,Via_Points_Geocoded,Vehicle_Category,Service_Type
,SAFAKADAL,34.0932178,74.7916738,SMHS,34.0865976,74.7983302,JEHANGIR CHOWK,,MPV,Ordinary Service
,SAIDAKADAL,34.103318,74.8272458,PARIMPORA,34.0814091,74.7131047,DALGATE,"34.0816285,74.8268875",MPV,Express Service
,SAFAKADAL,34.0932178,74.7916738,SMHS,34.0865976,74.7983302,JEHANGIR CHOWK,,MPV,Express Service
,SAFAKADAL,34.0932178,74.7916738,SMHS,34.0865976,74.7983302,JEHANGIR CHOWK,,MPV,Ordinary Service
,SAFAKADAL,34.0932178,74.7916738,SMHS,34.0865976,74.7983302,JEHANGIR CHOWK,,MPV,
,LALBAZAR,34.1255664,74.817375,PARIMPORA,34.0814091,74.7131047,QAMARWARI,"34.0948927,74.766525",MPV,
,PARIMPORA,34.0814091,74.7131047,RAWALPORA,34.0195992,74.7993842,JEHANGIR CHOWK,,MPV,
,PARIMPORA,34.0814091,74.7131047,HAZRATBAL,34.1272157,74.8356734,QAMARWARI,"34.0948927,74.766525",MPV,Express Service
,LALBAZAR,34.1255664,74.817375,PARIMPORA,34.0814091,74.7131047,QAMARWARI,"34.0948927,74.766525",MPV,
,LALBAZAR,34.1255664,74.817375,PARIMPORA,34.0814091,74.7131047,QAMARWARI,"34.0948927,74.766525",MPV,Express Service
,LALBAZAR,34.1255664,74.817375,PARIMPORA,34.0814091,74.7131047,QAMARWARI,"34.0948927,74.766525",MPV,Ordinary Service
,PARIMPORA,34.0814091,74.7131047,CHADORA,33.9437273,74.7986725,JEHANGIR CHOWK,,MPV,Ordinary Service
,LALBAZAR,34.1255664,74.817375,PARIMPORA,34.0814091,74.7131047,QAMARWARI,"34.0948927,74.766525",MPV,Ordinary Service
,LALBAZAR,34.1255664,74.817375,PARIMPORA,34.0814091,74.7131047,QAMARWARI,"34.0948927,74.766525",MPV,Ordinary Service
,QAMARWARI,34.0948927,74.766525,HAZRATBAL,34.1272157,74.8356734,RAZIAKADAL,"34.0870943,74.8114291",MPV,Express Service
,LALBAZAR,34.1255664,74.817375,PARIMPORA,34.0814091,74.7131047,QAMARWARI,"34.0948927,74.766525",LPV,Express Service
,LALBAZAR,34.1255664,74.817375,PARIMPORA,34.0814091,74.7131047,QAMARWARI,"34.0948927,74.766525",MPV,Ordinary Service
,PARIMPORA,34.0814091,74.7131047,RANGRATH,34.013161,74.7994131,BYPASS,"34.0909355,74.7608808",MPV,Express Service
,SAIDAKADAL,34.103318,74.8272458,BYPASS,34.0909355,74.7608808,DALGATE,"34.0816285,74.8268875",LPV,Express Service
