row,from,to,vehicle,reason
13089,,,LPV,blank_origin_and_destination
13090,Soura,Jehangir Chowk,MPV,ungeocoded: destination 'JEHANGIR CHOWK'
13091,Soura,Jehangir Chowk,MPV,ungeocoded: destination 'JEHANGIR CHOWK'
13093,,,HPV,blank_origin_and_destination
13095,Narbal,Jehangir Chowk,MPV,ungeocoded: destination 'JEHANGIR CHOWK'
13097,,,MPV,blank_origin_and_destination
13098,,,MPV,blank_origin_and_destination
13100,,,MPV,blank_origin_and_destination
13101,,,LPV,blank_origin_and_destination
13102,,,MPV,blank_origin_and_destination
13103,,,MPV,blank_origin_and_destination
13106,,,MPV,blank_origin_and_destination
13107,Soura,Jehangir Chowk,MPV,ungeocoded: destination 'JEHANGIR CHOWK'
13108,,,MPV,blank_origin_and_destination
13110,,,LPV,blank_origin_and_destination
13113,,,MPV,blank_origin_and_destination
13114,,,HPV,blank_origin_and_destination
13115,,,HPV,blank_origin_and_destination
13116,,,HPV,blank_origin_and_destination
13117,,,HPV,blank_origin_and_destination
13120,,,MPV,blank_origin_and_destination
13121,,,HPV,blank_origin_and_destination
13122,,,HPV,blank_origin_and_destination
13130,,,MPV,blank_origin_and_destination
13131,,,MPV,blank_origin_and_destination
13143,,,HPV,blank_origin_and_destination
13144,,,MPV,blank_origin_and_destination
13147,,,HPV,blank_origin_and_destination
13148,,,LPV,blank_origin_and_destination
13149,Baghat Shora,Lalchowk,LPV,ungeocoded: origin 'BAGHAT SHORA'
13150,,,HPV,blank_origin_and_destination
13157,,,MPV,blank_origin_and_destination
13158,,,MPV,blank_origin_and_destination
13159,Soura,Jehangir Chowk,LPV,ungeocoded: destination 'JEHANGIR CHOWK'
13160,,,MPV,blank_origin_and_destination
13161,,,HPV,blank_origin_and_destination
13163,Baghat Shora,Lalchowk,MPV,ungeocoded: origin 'BAGHAT SHORA'
13166,,,MPV,blank_origin_and_destination
13167,Baghat Shora,Lalchowk,LPV,ungeocoded: origin 'BAGHAT SHORA'
13168,"Hazratbal, Lalbazar",Parimpora,MPV,ungeocoded: origin 'HAZRATBAL LALBAZAR'
13169,,,MPV,blank_origin_and_destination
13171,Lawaypora,Jehangir Chowk,MPV,ungeocoded: destination 'JEHANGIR CHOWK'
13174,,,MPV,blank_origin_and_destination
13175,,,MPV,blank_origin_and_destination
13176,,,MPV,blank_origin_and_destination
13177,,,HPV,blank_origin_and_destination
13178,,,MPV,blank_origin_and_destination
13179,,,MPV,blank_origin_and_destination
13183,,,HPV,blank_origin_and_destination
13184,,,MPV,blank_origin_and_destination
13187,Jehangir Chowk,HMT,LPV,ungeocoded: origin 'JEHANGIR CHOWK'
13189,Jehangir Chowk,JVC,MPV,ungeocoded: origin 'JEHANGIR CHOWK'
13190,,,MPV,blank_origin_and_destination
13191,,,HPV,blank_origin_and_destination
13192,,,HPV,blank_origin_and_destination
13193,,,HPV,blank_origin_and_destination
13199,,,HPV,blank_origin_and_destination
13200,,,MPV,blank_origin_and_destination
13201,,,MPV,blank_origin_and_destination
13202,,,MPV,blank_origin_and_destination
13203,,,MPV,blank_origin_and_destination
13204,,,MPV,blank_origin_and_destination
13205,,,MPV,blank_origin_and_destination
13206,,,MPV,blank_origin_and_destination
13207,,,MPV,blank_origin_and_destination
13208,,,MPV,blank_origin_and_destination
13209,,,MPV,blank_origin_and_destination
13210,,,MPV,blank_origin_and_destination
13211,,,MPV,blank_origin_and_destination
13212,,,MPV,blank_origin_and_destination
13213,,,MPV,blank_origin_and_destination
13214,,,MPV,blank_origin_and_destination
13215,,,MPV,blank_origin_and_destination
13216,,,MPV,blank_origin_and_destination
13217,,,HPV,blank_origin_and_destination
13218,,,HPV,blank_origin_and_destination
13219,,,HPV,blank_origin_and_destination
13220,,,HPV,blank_origin_and_destination
13221,,,HPV,blank_origin_and_destination
13222,,,MPV,blank_origin_and_destination
13223,,,HPV,blank_origin_and_destination
13224,,,HPV,blank_origin_and_destination
13225,,,HPV,blank_origin_and_destination
13226,,,HPV,blank_origin_and_destination
13227,,,HPV,blank_origin_and_destination
13228,,,,blank_origin_and_destination
13229,,,,blank_origin_and_destination
13230,,,HPV,blank_origin_and_destination
13231,,,LPV,blank_origin_and_destination
13232,,,HPV,blank_origin_and_destination
13233,,,,blank_origin_and_destination
13234,,,LPV,blank_origin_and_destination
13235,,,LPV,blank_origin_and_destination
13236,,,HPV,blank_origin_and_destination
13237,,,HPV,blank_origin_and_destination
13238,,,LPV,blank_origin_and_destination
13239,,,LPV,blank_origin_and_destination
13240,,,HPV,blank_origin_and_destination
13241,,,HPV,blank_origin_and_destination
13242,,,HPV,blank_origin_and_destination
13243,,,HPV,blank_origin_and_destination
13244,,,HPV,blank_origin_and_destination
13245,,,LPV,blank_origin_and_destination
13246,,,,blank_origin_and_destination
13247,,,HPV,blank_origin_and_destination
13248,,,LPV,blank_origin_and_destination
13249,,,HPV,blank_origin_and_destination
13250,,,,blank_origin_and_destination
13251,,,LPV,blank_origin_and_destination
13252,,,HPV,blank_origin_and_destination
13253,,,,blank_origin_and_destination
13254,,,,blank_origin_and_destination
13255,,,HPV,blank_origin_and_destination
13256,,,HPV,blank_origin_and_destination
13257,,,,blank_origin_and_destination
13258,,,HPV,blank_origin_and_destination
13259,,,HPV,blank_origin_and_destination
13260,,,HPV,blank_origin_and_destination
13261,,,HPV,blank_origin_and_destination
13262,,,LPV,blank_origin_and_destination
13263,,,HPV,blank_origin_and_destination
13264,,,HPV,blank_origin_and_destination
13265,,,,blank_origin_and_destination
13266,,,LPV,blank_origin_and_destination
13267,,,HPV,blank_origin_and_destination
13268,,,HPV,blank_origin_and_destination
13269,,,HPV,blank_origin_and_destination
13270,,,LPV,blank_origin_and_destination
13271,,,HPV,blank_origin_and_destination
13272,,,HPV,blank_origin_and_destination
13273,,,HPV,blank_origin_and_destination
13274,,,LPV,blank_origin_and_destination
13275,,,HPV,blank_origin_and_destination
13276,,,HPV,blank_origin_and_destination
13277,,,HPV,blank_origin_and_destination
13278,,,HPV,blank_origin_and_destination
13279,,,LPV,blank_origin_and_destination
13280,,,LPV,blank_origin_and_destination
13281,,,HPV,blank_origin_and_destination
13282,,,,blank_origin_and_destination
13283,,,,blank_origin_and_destination
13284,,,,blank_origin_and_destination
13285,,,LPV,blank_origin_and_destination
13286,,,LPV,blank_origin_and_destination
13287,,,LPV,blank_origin_and_destination
13288,,,,blank_origin_and_destination
13289,,,LPV,blank_origin_and_destination
13290,,,LPV,blank_origin_and_destination
13291,,,HPV,blank_origin_and_destination
13292,,,LPV,blank_origin_and_destination
13293,,,HPV,blank_origin_and_destination
13294,,,HPV,blank_origin_and_destination
13295,,,HPV,blank_origin_and_destination
13296,,,LPV,blank_origin_and_destination
13297,,,HPV,blank_origin_and_destination
13298,,,HPV,blank_origin_and_destination
13299,,,HPV,blank_origin_and_destination
13300,,,HPV,blank_origin_and_destination
13301,,,HPV,blank_origin_and_destination
13302,,,HPV,blank_origin_and_destination
13303,,,HPV,blank_origin_and_destination
13304,,,HPV,blank_origin_and_destination
13305,,,HPV,blank_origin_and_destination
13306,,,HPV,blank_origin_and_destination
13307,,,HPV,blank_origin_and_destination
13308,,,HPV,blank_origin_and_destination
13309,,,HPV,blank_origin_and_destination
13310,,,HPV,blank_origin_and_destination
13311,,,HPV,blank_origin_and_destination
13312,,,HPV,blank_origin_and_destination
13313,,,HPV,blank_origin_and_destination
13314,,,HPV,blank_origin_and_destination
13315,,,HPV,blank_origin_and_destination
13316,,,HPV,blank_origin_and_destination
13317,,,HPV,blank_origin_and_destination
13318,,,HPV,blank_origin_and_destination
13319,,,HPV,blank_origin_and_destination
13320,,,HPV,blank_origin_and_destination
13321,,,HPV,blank_origin_and_destination
13322,,,HPV,blank_origin_and_destination
13323,,,HPV,blank_origin_and_destination
13324,,,HPV,blank_origin_and_destination
13325,,,HPV,blank_origin_and_destination
13326,,,HPV,blank_origin_and_destination
13327,,,HPV,blank_origin_and_destination
13328,,,HPV,blank_origin_and_destination
13329,,,HPV,blank_origin_and_destination
13330,,,HPV,blank_origin_and_destination
13331,,,HPV,blank_origin_and_destination
13332,,,HPV,blank_origin_and_destination
13333,,,HPV,blank_origin_and_destination
13334,,,HPV,blank_origin_and_destination
13335,,,HPV,blank_origin_and_destination
13336,,,HPV,blank_origin_and_destination
13337,,,HPV,blank_origin_and_destination
13338,,,HPV,blank_origin_and_destination
13339,,,HPV,blank_origin_and_destination
13340,,,HPV,blank_origin_and_destination
13341,,,HPV,blank_origin_and_destination
13342,,,HPV,blank_origin_and_destination
13343,,,HPV,blank_origin_and_destination
13344,,,HPV,blank_origin_and_destination
13345,,,HPV,blank_origin_and_destination
13346,,,HPV,blank_origin_and_destination
13347,,,HPV,blank_origin_and_destination
13348,,,HPV,blank_origin_and_destination
13349,,,HPV,blank_origin_and_destination
13350,,,HPV,blank_origin_and_destination
13351,,,HPV,blank_origin_and_destination
13352,,,HPV,blank_origin_and_destination
13353,,,HPV,blank_origin_and_destination
13354,,,HPV,blank_origin_and_destination
13355,,,HPV,blank_origin_and_destination
13356,,,HPV,blank_origin_and_destination
13357,,,HPV,blank_origin_and_destination
13358,,,HPV,blank_origin_and_destination
13359,,,HPV,blank_origin_and_destination
13360,,,HPV,blank_origin_and_destination
13361,,,HPV,blank_origin_and_destination
13362,,,HPV,blank_origin_and_destination
